発生日,地域,マグニチュード,最大震度
2011/6/28,九州,4.2,震度４
2011/10/5,九州,4.5,震度５強
2012/1/30,九州,4.9,震度４
2012/3/12,九州,3.9,震度４
2012/6/4,九州,4.4,震度４
2012/8/17,九州,4.9,震度４
2014/3/14,九州,6.2,震度５強
2014/8/29,九州,6,震度４
2015/7/13,九州,5.7,震度５強
2015/8/26,九州,5.2,震度４
2015/10/3,九州,4.1,震度４
2016/3/3,九州,4.9,震度４
2016/4/14,九州,6.5,震度７
2016/4/14,九州,4.1,震度４
2016/4/14,九州,3.9,震度４
2016/4/14,九州,4.9,震度４
2016/4/14,九州,3.9,震度４
2016/4/14,九州,4.6,震度４
2016/4/14,九州,5.8,震度６弱
2016/4/14,九州,4.4,震度４
2016/4/14,九州,4.1,震度４
2016/4/14,九州,4,震度４
2016/4/14,九州,4.6,震度４
2016/4/14,九州,5,震度５弱
2016/4/14,九州,4.4,震度４
2016/4/14,九州,4.4,震度４
2016/4/14,九州,4.6,震度４
2016/4/14,九州,5.1,震度５弱
2016/4/15,九州,6.4,震度６強
2016/4/15,九州,5,震度５強
2016/4/15,九州,4.5,震度４
2016/4/15,九州,4.2,震度４
2016/4/15,九州,3.9,震度４
2016/4/15,九州,4.8,震度５弱
2016/4/15,九州,4.1,震度４
2016/4/15,九州,4.6,震度４
2016/4/15,九州,4.2,震度４
2016/4/15,九州,4.4,震度４
2016/4/15,九州,4.2,震度４
2016/4/15,九州,3.8,震度４
2016/4/15,九州,3.6,震度４
2016/4/16,九州,7.3,震度７
2016/4/16,九州,4.7,震度４
2016/4/16,九州,4.4,震度４
2016/4/16,九州,4.6,震度４
2016/4/16,九州,4.4,震度４
2016/4/16,九州,5.3,震度４
2016/4/16,九州,4.6,震度４
2016/4/16,九州,4.3,震度４
2016/4/16,九州,4.1,震度４
2016/4/16,九州,4.5,震度４
2016/4/16,九州,4,震度４
2016/4/16,九州,3.9,震度４
2016/4/16,九州,5.4,震度５弱
2016/4/16,九州,5.9,震度６弱
2016/4/16,九州,4.6,震度４
2016/4/16,九州,4.9,震度４
2016/4/16,九州,3.6,震度４
2016/4/16,九州,3.8,震度４
2016/4/16,九州,3.7,震度４
2016/4/16,九州,3.9,震度４
2016/4/16,九州,3.3,震度４
2016/4/16,九州,5.9,震度５強
2016/4/16,九州,4.2,震度５弱
2016/4/16,九州,4.1,震度４
2016/4/16,九州,3.5,震度４
2016/4/16,九州,3.6,震度４
2016/4/16,九州,4.2,震度４
2016/4/16,九州,4,震度４
2016/4/16,九州,5.8,震度６強
2016/4/16,九州,4,震度４
2016/4/16,九州,4.2,震度４
2016/4/16,九州,4.2,震度４
2016/4/16,九州,4.6,震度４
2016/4/16,九州,4.3,震度４
2016/4/16,九州,3.3,震度４
2016/4/16,九州,4.2,震度４
2016/4/16,九州,4.1,震度４
2016/4/16,九州,5.4,震度５弱
2016/4/16,九州,4.8,震度５弱
2016/4/16,九州,4.2,震度４
2016/4/16,九州,3.9,震度４
2016/4/16,九州,3.8,震度４
2016/4/16,九州,3.9,震度４
2016/4/16,九州,4.6,震度４
2016/4/16,九州,3.7,震度４
2016/4/16,九州,4.5,震度４
2016/4/16,九州,3.9,震度４
2016/4/16,九州,5.4,震度６弱
2016/4/16,九州,4.5,震度５弱
2016/4/16,九州,3.5,震度４
2016/4/16,九州,4.5,震度４
2016/4/16,九州,4.4,震度４
2016/4/16,九州,3.6,震度４
2016/4/16,九州,4.6,震度４
2016/4/16,九州,4.6,震度４
2016/4/16,九州,5.4,震度５弱
2016/4/16,九州,3.5,震度４
2016/4/16,九州,4.2,震度４
2016/4/16,九州,4,震度４
2016/4/16,九州,4.4,震度４
2016/4/16,九州,3.7,震度４
2016/4/16,九州,4.2,震度４
2016/4/17,九州,4.8,震度４
2016/4/17,九州,3.2,震度４
2016/4/17,九州,3.9,震度４
2016/4/17,九州,4,震度４
2016/4/17,九州,4.5,震度４
2016/4/17,九州,3.9,震度４
2016/4/17,九州,3.8,震度４
2016/4/17,九州,3.4,震度４
2016/4/17,九州,4.4,震度４
2016/4/17,九州,4.4,震度４
2016/4/17,九州,3.8,震度４
2016/4/18,九州,3.7,震度４
2016/4/18,九州,3.1,震度４
2016/4/18,九州,4.2,震度４
2016/4/18,九州,5.8,震度５強
2016/4/18,九州,3.9,震度４
2016/4/19,九州,3.8,震度４
2016/4/19,九州,4.1,震度４
2016/4/19,九州,5.5,震度５強
2016/4/19,九州,5,震度５弱
2016/4/20,九州,3.9,震度４
2016/4/21,九州,3.8,震度４
2016/4/21,九州,4.2,震度４
2016/4/22,九州,3.6,震度４
2016/4/25,九州,4.5,震度４
2016/4/28,九州,4.1,震度４
2016/4/28,九州,3.7,震度４
2016/4/28,九州,4.8,震度４
2016/4/29,九州,4.5,震度５強
2016/5/4,九州,4,震度４
2016/5/4,九州,4,震度４
2016/5/4,九州,3.5,震度４
2016/5/5,九州,4.6,震度４
2016/5/5,九州,4.9,震度４
2016/5/5,九州,3.9,震度４
2016/5/12,九州,4.1,震度４
2016/5/13,九州,4.1,震度４
2016/6/12,九州,4.3,震度５弱
2016/6/13,九州,4.1,震度４
2016/6/18,九州,4.6,震度４
2016/6/22,九州,3.9,震度４
2016/6/29,九州,3.9,震度４
2016/7/9,九州,4.5,震度４
2016/8/9,九州,3.8,震度４
2016/8/19,九州,4.4,震度４
2016/8/31,九州,5.2,震度５弱
2016/9/1,九州,4.8,震度４
2016/9/7,九州,3.9,震度４
2016/10/22,九州,4.4,震度４
2016/11/11,九州,4.2,震度４
2017/1/11,九州,3.4,震度４
2017/3/2,九州,5.3,震度４
2017/5/4,九州,4.1,震度４
2017/5/11,九州,4.4,震度４
2017/6/9,九州,4.3,震度４
2017/6/20,九州,5,震度５強
2017/7/2,九州,4.5,震度５弱
2017/7/11,九州,5.3,震度５強
2017/8/24,九州,4.4,震度４
2017/9/8,九州,4.1,震度４
2017/11/1,九州,3.8,震度４
2018/2/19,九州,5,震度４
2018/5/6,九州,3.9,震度４
2018/6/12,九州,5.6,震度４
2018/7/25,九州,4.4,震度４
2018/8/22,九州,4.1,震度４
2019/1/3,九州,5.1,震度６弱
