発生日,地域,マグニチュード,最大震度
2011/4/7,京都,7.2,震度１
2011/4/11,京都,7,震度１
2011/4/18,京都,3.6,震度１
2011/4/26,京都,3.4,震度１
2011/5/16,京都,2.6,震度１
2011/5/19,京都,2.3,震度１
2011/5/21,京都,3.4,震度１
2011/6/3,京都,3.1,震度１
2011/6/4,京都,5.2,震度１
2011/6/14,京都,2.7,震度１
2011/6/24,京都,2.8,震度１
2011/7/4,京都,4.1,震度１
2011/7/5,京都,5.5,震度２
2011/7/15,京都,3.4,震度２
2011/7/24,京都,4.8,震度２
2011/8/1,京都,6.2,震度２
2011/8/10,京都,4.7,震度２
2011/9/3,京都,3.6,震度１
2011/9/16,京都,4.3,震度２
2011/9/22,京都,2.5,震度１
2011/10/9,京都,3.9,震度２
2011/11/10,京都,3.9,震度１
2011/11/15,京都,2.8,震度１
2011/11/16,京都,2.1,震度１
2011/11/18,京都,4.8,震度２
2011/11/21,京都,5.4,震度２
2011/11/25,京都,4.7,震度１
2011/12/14,京都,5.1,震度２
2011/12/19,京都,3.6,震度２
2011/12/20,京都,3.1,震度２
2012/1/1,京都,7,震度１
2012/1/9,京都,4.7,震度２
2012/1/12,京都,2.9,震度１
2012/2/21,京都,3.4,震度２
2012/3/16,京都,3.5,震度１
2012/3/23,京都,3.5,震度２
2012/5/5,京都,4.3,震度１
2012/5/10,京都,3.4,震度３
2012/5/31,京都,2.6,震度１
2012/7/5,京都,2.7,震度１
2012/7/8,京都,2.5,震度１
2012/10/13,京都,3.8,震度２
2012/11/17,京都,3.9,震度３
2012/12/4,京都,2.5,震度１
2012/12/7,京都,7.3,震度１
2012/12/12,京都,3.1,震度１
2013/1/9,京都,2.7,震度１
2013/1/24,京都,2.8,震度１
2013/2/4,京都,3.2,震度１
2013/2/19,京都,2.5,震度１
2013/3/26,京都,2.2,震度１
2013/4/4,京都,3,震度１
2013/4/13,京都,6.3,震度４
2013/5/16,京都,3.2,震度１
2013/5/20,京都,3.6,震度２
2013/6/8,京都,3.3,震度２
2013/6/19,京都,2.6,震度１
2013/7/13,京都,2.9,震度２
2013/7/17,京都,4,震度１
2013/7/17,京都,3.8,震度１
2013/8/3,京都,4.9,震度１
2013/8/27,京都,3.5,震度３
2013/8/27,京都,2.5,震度１
2013/9/3,京都,3.8,震度１
2013/9/6,京都,3.3,震度２
2013/9/14,京都,2.8,震度１
2013/10/2,京都,3,震度１
