発生日,地域,マグニチュード,最大震度
2011/6/3,伊豆、箱根,2.6,震度１
2011/11/12,伊豆、箱根,3,震度１
2012/12/4,伊豆、箱根,3.8,震度１
2013/7/10,伊豆、箱根,3.9,震度４
2013/10/24,伊豆、箱根,2.1,震度１
2013/10/26,伊豆、箱根,2.3,震度１
2013/11/5,伊豆、箱根,2.5,震度１
2013/12/25,伊豆、箱根,2.2,震度１
2014/1/6,伊豆、箱根,1.9,震度１
2015/5/5,伊豆、箱根,2.2,震度１
2015/5/5,伊豆、箱根,2.6,震度１
2015/5/5,伊豆、箱根,2.6,震度１
2015/5/10,伊豆、箱根,2.3,震度１
2015/5/10,伊豆、箱根,2,震度１
2015/5/10,伊豆、箱根,3,震度２
2015/5/10,伊豆、箱根,1.8,震度１
2015/5/10,伊豆、箱根,1.5,震度１
2015/5/10,伊豆、箱根,2.3,震度１
2015/5/11,伊豆、箱根,1.4,震度１
2015/5/12,伊豆、箱根,2.1,震度１
2015/5/15,伊豆、箱根,2.4,震度１
2015/5/15,伊豆、箱根,2.4,震度１
2015/5/15,伊豆、箱根,2.8,震度１
2015/5/15,伊豆、箱根,2,震度１
2015/5/15,伊豆、箱根,2.2,震度１
2015/5/15,伊豆、箱根,2.5,震度１
2015/5/18,伊豆、箱根,2.7,震度１
2015/5/28,伊豆、箱根,2.5,震度１
2015/5/31,伊豆、箱根,2.8,震度２
2015/5/31,伊豆、箱根,2.3,震度１
2015/6/20,伊豆、箱根,2.9,震度２
2015/6/29,伊豆、箱根,1.9,震度１
2015/6/29,伊豆、箱根,1.6,震度１
2015/6/29,伊豆、箱根,1.8,震度１
2015/6/30,伊豆、箱根,2.8,震度２
2015/6/30,伊豆、箱根,2.1,震度１
2015/6/30,伊豆、箱根,3.3,震度３
2015/6/30,伊豆、箱根,2.3,震度１
2015/6/30,伊豆、箱根,2,震度１
2015/6/30,伊豆、箱根,1.8,震度１
2015/6/30,伊豆、箱根,2.5,震度２
2015/6/30,伊豆、箱根,1.9,震度１
2015/6/30,伊豆、箱根,2,震度１
2015/6/30,伊豆、箱根,3.2,震度３
2015/6/30,伊豆、箱根,2.5,震度１
2015/6/30,伊豆、箱根,3.1,震度２
2015/7/3,伊豆、箱根,2.7,震度１
2015/8/17,伊豆、箱根,2.2,震度１
2015/9/25,伊豆、箱根,1.9,震度１
2015/10/25,伊豆、箱根,2.2,震度２
2015/11/27,伊豆、箱根,2.8,震度１
2016/1/18,伊豆、箱根,4.3,震度２
2016/2/20,伊豆、箱根,2.9,震度３
2016/5/26,伊豆、箱根,2.8,震度２
2016/5/26,伊豆、箱根,2.1,震度１
2016/12/13,伊豆、箱根,2.8,震度１
2017/5/3,伊豆、箱根,2.6,震度２
2018/7/6,伊豆、箱根,2,震度１
2018/8/29,伊豆、箱根,3.5,震度２
2019/2/6,伊豆、箱根,3.1,震度２
2019/5/19,伊豆、箱根,2.6,震度１
2019/7/29,伊豆、箱根,2.9,震度１
2020/5/15,伊豆、箱根,2.6,震度１
2020/5/16,伊豆、箱根,2.4,震度２
2020/10/1,伊豆、箱根,3,震度１
2020/10/4,伊豆、箱根,2.5,震度１
