発生日,地域,マグニチュード,最大震度
2011/4/7,北海道,7.2,震度４
2011/6/14,北海道,5.1,震度４
2011/6/23,北海道,6.9,震度４
2011/8/1,北海道,5.5,震度４
2011/8/22,北海道,4.7,震度４
2011/9/7,北海道,4.3,震度４
2011/9/7,北海道,5.1,震度５強
2011/9/18,北海道,5,震度４
2011/9/26,北海道,4.2,震度４
2011/11/24,北海道,6.2,震度５弱
2012/3/14,北海道,6.9,震度４
2012/5/24,北海道,6.1,震度４
2012/7/15,北海道,4.2,震度４
2012/7/16,北海道,4.3,震度４
2012/7/18,北海道,4.1,震度４
2012/7/22,北海道,5.1,震度４
2012/8/22,北海道,5.2,震度４
2012/8/25,北海道,6.1,震度５弱
2012/12/7,北海道,7.3,震度４
2013/1/24,北海道,5.2,震度４
2013/2/2,北海道,6.5,震度５強
2013/4/19,北海道,7,震度４
2013/7/16,北海道,5.1,震度４
2014/6/26,北海道,4.8,震度４
2014/7/6,北海道,4.6,震度４
2014/7/8,北海道,5.6,震度５弱
2014/8/10,北海道,6.1,震度４
2014/8/19,北海道,4.9,震度４
2014/11/3,北海道,4.6,震度４
2015/1/1,北海道,4.5,震度４
2015/1/9,北海道,5.5,震度４
2015/6/4,北海道,5,震度５弱
2015/8/14,北海道,5.1,震度４
2015/9/12,北海道,5.4,震度４
2015/11/28,北海道,5.6,震度４
2016/1/14,北海道,6.7,震度５弱
2016/6/16,北海道,5.3,震度６弱
2016/6/21,北海道,4.2,震度４
2016/7/24,北海道,4.9,震度４
2016/9/26,北海道,5.4,震度４
2016/11/25,北海道,4.6,震度４
2017/4/30,北海道,5.4,震度４
2017/7/1,北海道,5.1,震度５弱
2017/9/10,北海道,5.6,震度４
2017/11/3,北海道,5,震度４
2018/1/14,北海道,4.7,震度４
2018/1/24,北海道,6.3,震度４
2018/4/14,北海道,5.4,震度５弱
2018/4/24,北海道,5.4,震度４
2018/5/18,北海道,5.8,震度４
2018/7/16,北海道,4.9,震度４
2018/9/6,北海道,6.7,震度７
2018/9/6,北海道,4.7,震度４
2018/9/6,北海道,5.5,震度４
2018/9/6,北海道,4.8,震度４
2018/9/6,北海道,4.6,震度４
2018/9/6,北海道,4.7,震度４
2018/9/6,北海道,4.4,震度４
2018/9/6,北海道,5.4,震度５弱
2018/9/7,北海道,4.5,震度４
2018/9/7,北海道,4.4,震度４
2018/9/8,北海道,4.2,震度４
2018/9/9,北海道,4.9,震度４
2018/9/11,北海道,4.5,震度４
2018/9/11,北海道,4.2,震度４
2018/9/12,北海道,4.5,震度４
2018/9/14,北海道,4.6,震度４
2018/9/17,北海道,4.6,震度４
2018/9/30,北海道,4.9,震度４
2018/10/1,北海道,4.7,震度４
2018/10/5,北海道,5.2,震度５弱
2018/10/8,北海道,4.3,震度４
2018/10/9,北海道,4.3,震度４
2018/10/12,北海道,4.6,震度４
2018/11/5,北海道,6.3,震度４
2018/11/14,北海道,4.7,震度４
2018/12/30,北海道,5.3,震度４
2019/2/21,北海道,5.8,震度６弱
2019/3/2,北海道,6.2,震度４
2019/4/28,北海道,5.6,震度４
2019/5/5,北海道,5.3,震度４
2019/12/12,北海道,4.2,震度５弱
2020/1/28,北海道,5.5,震度４
2020/2/13,北海道,7.2,震度４
2020/5/31,北海道,5.6,震度４
2020/12/21,北海道,6.5,震度４
2021/1/27,北海道,5.4,震度４
