発生日,地域,マグニチュード,最大震度
2011/4/12,北陸,5.6,震度５弱
2011/4/12,北陸,4.6,震度４
2011/4/17,北陸,4.9,震度５弱
2011/4/27,北陸,4.6,震度４
2011/6/2,北陸,4.7,震度５強
2011/6/2,北陸,4.1,震度４
2011/6/2,北陸,3.4,震度４
2011/10/5,北陸,5.2,震度４
2011/11/18,北陸,4.8,震度４
2012/1/1,北陸,4.2,震度４
2012/2/8,北陸,5.7,震度５強
2012/2/14,北陸,3.6,震度４
2012/7/10,北陸,5.2,震度５弱
2012/10/18,北陸,4.2,震度４
2013/4/4,北陸,4.2,震度４
2013/6/7,北陸,3.8,震度４
2014/4/8,北陸,4.4,震度４
2014/11/22,北陸,6.7,震度６弱
2014/11/22,北陸,4.5,震度５弱
2014/11/24,北陸,3.6,震度４
2014/11/25,北陸,3.9,震度４
2015/2/1,北陸,4.4,震度４
2015/3/24,北陸,3.8,震度４
2016/6/25,北陸,4.8,震度４
2017/12/6,北陸,5.3,震度４
2018/5/12,北陸,5.2,震度５弱
2018/5/25,北陸,5.2,震度５強
2020/3/13,北陸,5.5,震度５強
2020/4/13,北陸,4.2,震度４
2020/4/23,北陸,5.5,震度４
2020/5/19,北陸,5.4,震度４
2020/5/29,北陸,5.3,震度４
