発生日,地域,マグニチュード,最大震度
2011/4/7,大阪,7.2,震度２
2011/4/11,大阪,7,震度２
2011/4/23,大阪,2.6,震度１
2011/5/3,大阪,2.9,震度１
2011/5/10,大阪,3.4,震度１
2011/5/10,大阪,4.2,震度２
2011/5/12,大阪,3.5,震度１
2011/6/3,大阪,3.1,震度１
2011/6/4,大阪,5.2,震度１
2011/6/14,大阪,2.7,震度１
2011/7/4,大阪,4.1,震度１
2011/7/5,大阪,5.5,震度３
2011/7/5,大阪,4.5,震度１
2011/7/10,大阪,7.3,震度１
2011/7/15,大阪,3.4,震度２
2011/7/24,大阪,4.8,震度２
2011/7/30,大阪,4,震度１
2011/7/30,大阪,3.1,震度１
2011/8/1,大阪,6.2,震度２
2011/8/10,大阪,4.7,震度２
2011/8/28,大阪,3.8,震度１
2011/9/16,大阪,4.3,震度２
2011/10/8,大阪,4.2,震度１
2011/10/9,大阪,3.9,震度３
2011/10/10,大阪,2.7,震度１
2011/11/7,大阪,3.3,震度１
2011/11/15,大阪,2.8,震度１
2011/11/18,大阪,4.8,震度１
2011/11/21,大阪,5.4,震度１
2011/12/14,大阪,5.1,震度２
2012/1/1,大阪,7,震度２
2012/1/9,大阪,4.7,震度２
2012/1/28,大阪,5.4,震度１
2012/3/16,大阪,3.5,震度１
2012/3/23,大阪,3.5,震度２
2012/5/5,大阪,4.3,震度１
2012/5/10,大阪,3.4,震度２
2012/7/12,大阪,3,震度１
2012/8/3,大阪,3.7,震度１
2012/8/4,大阪,3.1,震度１
2012/9/11,大阪,2.1,震度１
2012/9/20,大阪,3,震度１
2012/10/13,大阪,3.8,震度１
2012/11/17,大阪,3.9,震度１
2012/12/3,大阪,3.7,震度１
2012/12/4,大阪,2.3,震度１
2012/12/4,大阪,2.5,震度１
2012/12/7,大阪,7.3,震度２
2012/12/12,大阪,3.1,震度１
2013/1/5,大阪,3.9,震度１
2013/1/9,大阪,2.7,震度１
2013/1/24,大阪,2.8,震度１
2013/2/4,大阪,3.2,震度１
2013/2/19,大阪,2.5,震度１
2013/3/18,大阪,3.9,震度１
2013/4/13,大阪,6.3,震度５弱
2013/4/13,大阪,3.9,震度１
2013/4/13,大阪,3.5,震度１
2013/4/21,大阪,6.4,震度１
2013/5/20,大阪,3.6,震度１
2013/6/8,大阪,3.3,震度１
2013/6/8,大阪,4,震度２
2013/6/8,大阪,3.8,震度２
2013/6/8,大阪,3.9,震度２
2013/7/17,大阪,4,震度２
2013/8/27,大阪,3.5,震度２
2013/8/27,大阪,2.5,震度１
2013/9/3,大阪,3.8,震度１
2013/9/6,大阪,3.3,震度２
2013/9/14,大阪,2.8,震度１
2013/10/6,大阪,3.7,震度３
2013/11/20,大阪,4,震度１
2013/12/1,大阪,3.1,震度２
2013/12/15,大阪,3.8,震度３
2014/3/14,大阪,6.2,震度２
2014/4/4,大阪,3.4,震度１
2014/4/24,大阪,3.7,震度２
2014/5/5,大阪,6,震度１
2014/6/8,大阪,2.1,震度１
2014/6/11,大阪,4,震度２
2014/7/12,大阪,7,震度１
2014/7/22,大阪,3.1,震度１
