発生日,地域,マグニチュード,最大震度
2011/4/11,東京,7,震度４
2011/4/11,東京,5.7,震度４
2011/4/12,東京,6.4,震度４
2011/4/16,東京,5.9,震度４
2011/7/15,東京,5.4,震度４
2011/8/1,東京,6.2,震度４
2012/1/1,東京,7,震度４
2012/5/29,東京,5.2,震度４
2012/11/24,東京,4.8,震度４
2012/12/7,東京,7.3,震度４
2013/4/17,東京,6.2,震度５強
2013/11/10,東京,5.5,震度４
2014/5/5,東京,6,震度５弱
2014/9/16,東京,5.6,震度４
2015/5/25,東京,5.5,震度４
2015/5/30,東京,8.1,震度５強
2015/6/23,東京,6.5,震度４
2015/9/12,東京,5.2,震度５弱
2016/2/5,東京,4.6,震度４
2016/5/16,東京,5.5,震度４
2018/1/6,東京,4.7,震度４
2019/5/25,東京,5.1,震度４
2019/6/4,東京,6.2,震度４
2019/6/24,東京,5.2,震度４
2020/4/18,東京,6.8,震度４
2020/9/3,東京,4.8,震度４
2020/12/18,東京,5,震度５弱
2020/12/18,東京,4.6,震度４
2021/1/1,東京,4.7,震度４
2021/2/13,東京,7.3,震度４
