発生日,地域,マグニチュード,最大震度
2011/4/7,沖縄,3.7,震度１
2011/4/14,沖縄,3.7,震度１
2011/4/16,沖縄,5.8,震度２
2011/4/16,沖縄,4.6,震度１
2011/4/30,沖縄,4.8,震度１
2011/5/6,沖縄,5.6,震度２
2011/5/21,沖縄,3.7,震度１
2011/6/5,沖縄,2.8,震度１
2011/6/5,沖縄,2.5,震度１
2011/6/9,沖縄,4.4,震度１
2011/6/18,沖縄,4.4,震度１
2011/7/2,沖縄,3.1,震度１
2011/7/13,沖縄,5.1,震度２
2011/7/21,沖縄,5.2,震度４
2011/7/25,沖縄,4,震度１
2011/7/25,沖縄,3.9,震度２
2011/7/29,沖縄,3.5,震度１
2011/8/6,沖縄,4.5,震度１
2011/8/8,沖縄,3.8,震度２
2011/8/9,沖縄,3.5,震度２
2011/8/9,沖縄,3.9,震度１
2011/8/23,沖縄,3.8,震度１
2011/8/27,沖縄,3.5,震度２
2011/9/10,沖縄,3.4,震度１
2011/9/12,沖縄,4.7,震度１
2011/9/14,沖縄,4.1,震度２
2011/9/14,沖縄,3.4,震度１
2011/9/19,沖縄,3.3,震度１
2011/9/29,沖縄,3.8,震度１
2011/9/30,沖縄,4.3,震度２
2011/10/1,沖縄,2.9,震度１
2011/10/2,沖縄,3.3,震度１
2011/10/3,沖縄,3.3,震度１
2011/10/17,沖縄,3.5,震度２
2011/10/17,沖縄,4.2,震度１
2011/10/22,沖縄,3.8,震度２
2011/10/29,沖縄,2.7,震度１
2011/10/30,沖縄,5.5,震度２
2011/11/4,沖縄,4.3,震度１
2011/11/6,沖縄,3.7,震度１
2011/11/8,沖縄,3.9,震度２
2011/11/8,沖縄,7,震度４
2011/12/5,沖縄,3.3,震度１
2011/12/6,沖縄,3.7,震度１
2011/12/11,沖縄,5.5,震度１
2011/12/23,沖縄,4.7,震度１
2011/12/25,沖縄,3.3,震度１
2012/1/15,沖縄,3.5,震度１
2012/1/21,沖縄,4.5,震度１
2012/1/28,沖縄,4.7,震度２
2012/2/1,沖縄,4.2,震度３
