ダウンロードした時刻：2021/02/03 17:44:52

,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2013/1/1,4.1,8,1,8.4,8,1,-0.8,8,1,1.5,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/2,6.1,8,1,8.8,8,1,4.4,8,1,2.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/3,2.1,8,1,5.2,8,1,0.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/4,1.8,8,1,5.7,8,1,-1.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/5,3.5,8,1,8.6,8,1,-2.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/6,3.8,8,1,7.8,8,1,-0.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/7,5.3,8,1,9.3,8,1,-0.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/8,7.6,8,1,11.4,8,1,5.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/9,5.7,8,1,7.9,8,1,3.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/10,3.6,8,1,6.0,8,1,1.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/11,3.5,8,1,8.6,8,1,-1.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/12,6.3,8,1,12.3,8,1,-0.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/13,5.7,8,1,9.3,8,1,1.5,8,1,10.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/14,7.9,8,1,12.2,8,1,4.2,8,1,8.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/15,6.2,8,1,9.5,5,1,0.5,5,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/16,5.4,8,1,10.6,5,1,-1.1,5,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/17,4.4,8,1,8.1,8,1,0.3,8,1,9.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/18,2.9,8,1,7.5,8,1,0.0,8,1,4.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/19,4.8,8,1,8.1,8,1,1.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/20,6.3,8,1,11.2,8,1,1.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/21,8.9,8,1,12.6,8,1,5.4,8,1,4.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/22,10.4,8,1,12.7,8,1,7.9,8,1,9.5,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/23,7.3,8,1,10.3,8,1,3.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/24,7.6,8,1,11.8,8,1,3.9,8,1,0.5,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/25,4.7,8,1,7.8,8,1,3.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/1/26,4.5,8,1,6.4,8,1,3.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
