ダウンロードした時刻：2021/02/03 17:47:14

,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2013/1/1,3.1,8,1,7.9,8,1,-0.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴一時雨,8,1
2013/1/2,4.4,8,1,10.9,8,1,0.5,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,晴後曇時々雨,8,1,晴,8,1
2013/1/3,1.7,8,1,5.4,8,1,-0.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,曇時々晴一時雪,8,1
2013/1/4,1.4,8,1,4.6,8,1,-0.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々雪,8,1,晴後曇,8,1
2013/1/5,1.8,8,1,5.2,8,1,-0.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,晴一時薄曇,8,1
2013/1/6,2.8,8,1,8.4,8,1,-2.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,晴後一時曇,8,1
2013/1/7,4.7,8,1,10.2,8,1,1.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴一時曇,8,1
2013/1/8,4.5,8,1,10.5,8,1,0.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴,8,1
2013/1/9,4.2,8,1,9.5,8,1,0.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴後一時曇,8,1
2013/1/10,3.5,8,1,7.6,8,1,1.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴一時雨,8,1,晴,8,1
2013/1/11,3.1,8,1,6.6,8,1,-0.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,晴後一時薄曇,8,1
2013/1/12,3.5,8,1,9.8,8,1,-0.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,快晴,8,1
2013/1/13,4.9,8,1,9.3,8,1,-0.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,曇後雨,8,1
2013/1/14,5.8,8,1,7.7,8,1,3.9,8,1,24.5,0,8,1,0,1,8,1,0,1,8,1,雨後時々曇,8,1,雨後一時晴,8,1
2013/1/15,4.1,8,1,7.0,8,1,2.5,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨、みぞれを伴う,8,1,曇後一時晴,8,1
2013/1/16,4.5,8,1,8.8,8,1,0.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,曇一時晴,8,1
2013/1/17,4.1,8,1,7.6,8,1,1.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,雪時々晴一時曇,8,1
2013/1/18,1.4,8,1,4.1,8,1,-0.5,8,1,0.0,0,8,1,0,0,8,1,0,1,8,1,雪時々曇一時晴,8,1,晴,8,1
2013/1/19,3.5,8,1,8.7,8,1,-2.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後曇一時雨,8,1
2013/1/20,5.3,8,1,7.7,8,1,2.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後晴,8,1
2013/1/21,4.5,8,1,9.1,8,1,-0.8,8,1,6.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,雨,8,1
2013/1/22,7.2,8,1,10.8,8,1,5.4,8,1,8.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,雨後時々曇,8,1
2013/1/23,5.8,8,1,9.0,8,1,2.7,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,晴一時曇,8,1
2013/1/24,5.7,8,1,11.3,8,1,0.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴後一時曇,8,1
2013/1/25,4.3,8,1,7.3,8,1,0.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後時々曇,8,1,晴,8,1
2013/1/26,1.5,8,1,5.8,8,1,-0.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴時々雪一時曇,8,1
