ダウンロードした時刻：2021/02/16 16:51:12

,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原,小田原
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2010/1/1,4.2,8,1,8.1,8,1,-0.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/2,6.6,8,1,12.5,8,1,0.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/3,7.4,8,1,11.3,8,1,2.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/4,4.9,8,1,9.2,8,1,0.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/5,8.7,8,1,12.4,8,1,3.4,8,1,4.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/6,4.7,8,1,10.6,8,1,0.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/7,5.9,8,1,12.9,8,1,-0.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/8,5.5,8,1,11.5,8,1,0.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/9,5.9,8,1,10.9,8,1,0.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/10,5.8,8,1,11.4,8,1,1.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/11,4.2,8,1,7.6,8,1,0.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/12,4.3,8,1,6.5,8,1,1.3,8,1,6.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/13,4.0,8,1,8.1,8,1,-1.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/14,2.5,8,1,7.5,8,1,-2.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/15,3.8,8,1,9.8,8,1,-1.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/16,2.7,8,1,7.9,8,1,-1.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/17,3.6,8,1,9.5,8,1,-1.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/18,4.2,8,1,9.5,8,1,0.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/19,7.1,8,1,14.0,8,1,0.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/20,12.5,8,1,18.9,8,1,4.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/21,14.7,8,1,18.4,8,1,8.0,8,1,4.5,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/22,6.4,8,1,9.8,8,1,3.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/23,4.8,8,1,9.4,8,1,1.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/24,5.1,8,1,10.6,8,1,-1.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2010/1/25,7.9,8,1,15.6,8,1,0.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
