ダウンロードした時刻：2021/02/03 17:38:11

,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳,千歳
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2016/1/1,-2.8,8,1,0.0,8,1,-7.5,8,1,0.0,8,1,5,8,1,1,8,1,,0,1,,0,1
2016/1/2,0.2,8,1,6.0,8,1,-4.3,8,1,3.0,8,1,9,8,1,5,8,1,,0,1,,0,1
2016/1/3,-1.9,8,1,1.9,8,1,-7.5,8,1,0.0,8,1,4,8,1,0,8,1,,0,1,,0,1
2016/1/4,-3.1,8,1,0.2,8,1,-10.2,8,1,0.0,8,1,4,8,1,0,8,1,,0,1,,0,1
2016/1/5,-6.4,8,1,-2.2,8,1,-13.0,8,1,0.0,8,1,5,8,1,1,8,1,,0,1,,0,1
2016/1/6,-2.9,8,1,1.3,8,1,-7.4,8,1,0.0,8,1,5,8,1,2,8,1,,0,1,,0,1
2016/1/7,-4.0,8,1,-1.4,8,1,-7.6,8,1,0.0,8,1,5,8,1,1,8,1,,0,1,,0,1
2016/1/8,-2.9,8,1,1.0,8,1,-7.2,8,1,0.0,8,1,5,8,1,2,8,1,,0,1,,0,1
2016/1/9,-4.8,8,1,-1.3,8,1,-9.8,8,1,0.0,8,1,5,8,1,2,8,1,,0,1,,0,1
2016/1/10,-6.2,8,1,-0.7,8,1,-11.8,8,1,0.0,8,1,6,8,1,3,8,1,,0,1,,0,1
2016/1/11,-8.2,8,1,-4.0,8,1,-15.7,8,1,0.0,8,1,6,8,1,0,8,1,,0,1,,0,1
2016/1/12,-8.5,8,1,-3.0,8,1,-15.7,8,1,0.0,8,1,5,8,1,0,8,1,,0,1,,0,1
2016/1/13,-5.8,8,1,-1.4,8,1,-11.7,8,1,0.0,8,1,6,8,1,1,8,1,,0,1,,0,1
2016/1/14,-6.2,8,1,-1.2,8,1,-15.1,8,1,3.5,8,1,22,5,1,7,5,1,,0,1,,0,1
2016/1/15,-10.6,8,1,-4.7,5,1,-18.2,8,1,0.0,8,1,16,8,1,0,8,1,,0,1,,0,1
2016/1/16,-9.3,8,1,-0.7,8,1,-19.1,8,1,0.0,8,1,14,8,1,1,8,1,,0,1,,0,1
2016/1/17,-9.7,8,1,-1.0,8,1,-18.3,8,1,0.0,8,1,13,8,1,0,8,1,,0,1,,0,1
2016/1/18,-9.0,8,1,-1.0,8,1,-15.7,8,1,1.0,8,1,14,8,1,1,8,1,,0,1,,0,1
2016/1/19,-1.6,8,1,-0.3,8,1,-3.0,8,1,0.5,8,1,14,8,1,1,8,1,,0,1,,0,1
2016/1/20,-1.9,8,1,0.3,8,1,-5.2,8,1,0.0,8,1,13,8,1,0,8,1,,0,1,,0,1
2016/1/21,-6.4,8,1,-2.7,8,1,-13.1,8,1,1.0,8,1,19,8,1,7,8,1,,0,1,,0,1
2016/1/22,-8.3,8,1,-0.9,8,1,-16.9,8,1,0.0,8,1,19,8,1,2,8,1,,0,1,,0,1
2016/1/23,-7.3,8,1,-0.4,8,1,-14.0,8,1,0.0,8,1,19,8,1,0,8,1,,0,1,,0,1
2016/1/24,-7.7,8,1,-3.8,8,1,-13.0,8,1,0.0,8,1,19,8,1,1,8,1,,0,1,,0,1
