ダウンロードした時刻：2021/02/03 17:52:42

,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2016/1/1,5.6,8,1,10.3,8,1,3.1,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨後晴、あられを伴う,8,1,曇一時晴,8,1
2016/1/2,10.9,8,1,13.7,8,1,6.1,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇時々晴後一時雨,8,1,曇一時雨後晴,8,1
2016/1/3,12.6,8,1,15.9,8,1,7.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴時々曇,8,1
2016/1/4,11.3,8,1,15.6,8,1,7.9,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇一時雨,8,1
2016/1/5,9.1,8,1,11.4,8,1,6.5,8,1,3.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々雨,8,1
2016/1/6,8.0,8,1,11.5,8,1,5.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,雨時々曇,8,1
2016/1/7,5.2,8,1,7.9,8,1,3.4,8,1,19.5,0,8,1,0,1,8,1,0,1,8,1,雨、雷・あられを伴う,8,1,雨時々曇,8,1
2016/1/8,5.0,8,1,7.4,8,1,3.4,8,1,17.0,0,8,1,0,1,8,1,0,1,8,1,雨、雷を伴う,8,1,雨後一時みぞれ、雷・あられを伴う,8,1
2016/1/9,4.8,8,1,8.7,8,1,1.0,8,1,14.0,0,8,1,0,0,8,1,0,1,8,1,曇時々雨一時晴,8,1,雨後一時曇,8,1
2016/1/10,6.3,8,1,8.3,8,1,4.8,8,1,4.0,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,雨後一時みぞれ、あられを伴う,8,1
2016/1/11,3.6,8,1,5.4,8,1,2.2,8,1,2.5,0,8,1,0,1,8,1,0,1,8,1,雨一時曇,8,1,雨時々曇,8,1
2016/1/12,2.2,8,1,3.7,8,1,1.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨一時雪,8,1,曇時々晴一時雪、あられを伴う,8,1
2016/1/13,3.3,8,1,6.9,8,1,1.0,8,1,14.0,0,8,1,0,1,8,1,0,1,8,1,曇後みぞれ、雷を伴う,8,1,雨一時雪、雷・あられを伴う,8,1
2016/1/14,3.2,8,1,5.1,8,1,1.7,8,1,33.0,0,8,1,1,0,8,1,1,0,8,1,みぞれ一時雪、あられを伴う,8,1,みぞれ後時々曇、雷・あられを伴う,8,1
2016/1/15,3.8,8,1,5.9,8,1,2.3,8,1,5.0,0,8,1,0,1,8,1,0,1,8,1,雨時々曇一時みぞれ,8,1,みぞれ時々曇、あられを伴う,8,1
2016/1/16,4.1,8,1,6.4,8,1,2.1,8,1,4.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々晴一時雨,8,1
2016/1/17,4.2,8,1,6.3,8,1,1.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇後雨,8,1
2016/1/18,6.6,8,1,10.0,8,1,4.3,8,1,24.5,0,8,1,0,1,8,1,0,1,8,1,雨、雷・あられを伴う,8,1,雨後雪、大風・雷を伴う,8,1
2016/1/19,1.5,8,1,6.6,8,1,-0.9,8,1,13.5,0,8,1,8,0,8,1,10,0,8,1,雪、大風・雷を伴う,8,1,雪後みぞれ、雷・あられを伴う,8,1
2016/1/20,3.8,8,1,6.8,8,1,0.7,8,1,6.0,0,8,1,7,0,8,1,1,0,8,1,みぞれ後雨、雷・あられを伴う,8,1,雪、あられを伴う,8,1
2016/1/21,2.7,8,1,5.1,8,1,0.5,8,1,6.0,0,8,1,2,0,8,1,2,0,8,1,曇,8,1,曇一時雪,8,1
2016/1/22,1.1,8,1,3.4,8,1,0.0,8,1,6.0,0,8,1,4,0,8,1,6,0,8,1,雪後一時曇,8,1,雪後曇,8,1
2016/1/23,2.3,8,1,5.8,8,1,-0.5,8,1,6.5,0,8,1,4,0,8,1,1,0,8,1,曇後時々雨,8,1,雪一時みぞれ、大風・雷を伴う,8,1
