ダウンロードした時刻：2021/02/03 17:42:19

,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2016/1/1,7.6,8,1,11.4,8,1,4.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2016/1/2,8.1,8,1,13.0,8,1,2.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,曇,8,1
2016/1/3,10.9,8,1,16.3,8,1,6.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時薄曇,8,1,晴後一時曇,8,1
2016/1/4,11.2,8,1,15.3,8,1,6.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴一時曇,8,1
2016/1/5,10.0,8,1,12.0,8,1,6.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇,8,1
2016/1/6,9.9,8,1,13.6,8,1,7.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後晴,8,1
2016/1/7,8.9,8,1,12.0,8,1,6.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴後一時雨,8,1,晴後一時曇,8,1
2016/1/8,8.3,8,1,10.6,8,1,5.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇後晴,8,1
2016/1/9,7.4,8,1,10.7,8,1,3.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後一時薄曇,8,1
2016/1/10,8.1,8,1,10.9,8,1,4.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,晴後一時薄曇,8,1
2016/1/11,7.9,8,1,11.6,8,1,3.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時薄曇,8,1,曇,8,1
2016/1/12,7.2,8,1,10.3,8,1,3.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,晴後一時曇,8,1
2016/1/13,5.2,8,1,9.5,8,1,2.5,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,晴時々雨,8,1,晴一時雨,8,1
2016/1/14,6.3,8,1,10.0,8,1,2.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,薄曇一時晴,8,1
2016/1/15,6.2,8,1,9.9,8,1,2.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,快晴,8,1
2016/1/16,5.9,8,1,10.5,8,1,2.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2016/1/17,6.2,8,1,9.8,8,1,1.6,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,雨時々曇,8,1
2016/1/18,8.5,8,1,11.3,8,1,5.1,8,1,6.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々雨後時々雪,8,1
2016/1/19,3.0,8,1,5.5,8,1,0.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴一時曇,8,1
2016/1/20,3.9,8,1,7.1,8,1,0.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇、みぞれを伴う,8,1,晴時々曇,8,1
2016/1/21,4.9,8,1,8.1,8,1,1.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴、みぞれを伴う,8,1,曇、みぞれを伴う,8,1
2016/1/22,5.0,8,1,9.7,8,1,2.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,薄曇,8,1
2016/1/23,4.3,8,1,6.8,8,1,1.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇時々晴、みぞれを伴う,8,1
2016/1/24,0.1,8,1,3.2,8,1,-2.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴,8,1
2016/1/25,1.9,8,1,6.3,8,1,-3.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後時々曇,8,1
2016/1/26,4.9,8,1,8.4,8,1,0.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,曇一時雨後一時晴,8,1
