ダウンロードした時刻：2021/02/03 17:20:28

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2010/1/1,4.8,8,1,9.5,8,1,0.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2010/1/2,6.3,8,1,11.4,8,1,0.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2010/1/3,5.7,8,1,9.2,8,1,1.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,晴一時曇,8,1
2010/1/4,6.5,8,1,9.6,8,1,3.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴時々曇一時雨,8,1
2010/1/5,7.3,8,1,13.2,8,1,3.0,8,1,2.5,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,快晴,8,1
2010/1/6,6.5,8,1,10.4,8,1,3.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2010/1/7,7.3,8,1,12.1,8,1,1.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,曇後晴,8,1
2010/1/8,7.6,8,1,11.3,8,1,4.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴一時曇,8,1
2010/1/9,7.2,8,1,11.1,8,1,4.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴時々曇,8,1
2010/1/10,7.0,8,1,11.7,8,1,2.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後曇,8,1
2010/1/11,5.3,8,1,6.4,8,1,4.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時晴,8,1,曇一時晴,8,1
2010/1/12,3.9,8,1,5.1,8,1,3.1,8,1,6.5,0,8,1,0,1,8,1,0,1,8,1,曇後雨一時みぞれ,8,1,曇一時雨,8,1
2010/1/13,5.3,8,1,9.2,8,1,2.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,快晴,8,1
2010/1/14,3.8,8,1,8.0,8,1,0.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2010/1/15,4.6,8,1,8.4,8,1,-0.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2010/1/16,3.8,8,1,6.9,8,1,1.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2010/1/17,4.9,8,1,9.2,8,1,1.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴時々曇,8,1
2010/1/18,5.3,8,1,8.8,8,1,1.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴,8,1
2010/1/19,8.4,8,1,13.8,8,1,1.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴時々曇,8,1
2010/1/20,11.6,8,1,17.3,8,1,4.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,曇,8,1
2010/1/21,13.0,8,1,18.0,8,1,6.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,晴時々曇,8,1
2010/1/22,7.0,8,1,10.5,8,1,3.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後時々曇,8,1,快晴,8,1
2010/1/23,6.3,8,1,10.1,8,1,2.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時薄曇,8,1,晴一時曇,8,1
2010/1/24,7.0,8,1,10.8,8,1,2.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2010/1/25,8.2,8,1,14.7,8,1,2.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴一時薄曇,8,1
2010/1/26,6.7,8,1,10.5,8,1,4.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2010/1/27,7.2,8,1,12.7,8,1,1.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時薄曇,8,1,晴後曇,8,1
