ダウンロードした時刻：2021/02/03 17:31:37

,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2010/1/1,15.1,8,1,17.0,8,1,13.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴時々曇,8,1
2010/1/2,17.0,8,1,19.7,8,1,12.6,8,1,4.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,雨時々曇,8,1
2010/1/3,16.4,8,1,19.3,8,1,14.6,8,1,12.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,晴一時曇,8,1
2010/1/4,16.4,8,1,20.9,8,1,11.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴時々雨,8,1
2010/1/5,15.6,8,1,17.7,8,1,13.5,8,1,3.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々雨,8,1
2010/1/6,14.1,8,1,15.6,8,1,12.9,8,1,3.0,0,8,1,0,1,8,1,0,1,8,1,雨一時曇,8,1,雨時々曇一時晴,8,1
2010/1/7,15.6,8,1,17.1,8,1,13.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2010/1/8,14.6,8,1,16.5,8,1,12.1,8,1,4.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,雨後晴一時曇,8,1
2010/1/9,16.1,8,1,20.3,8,1,11.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後時々曇,8,1
2010/1/10,17.4,8,1,20.6,8,1,15.3,8,1,5.5,0,8,1,0,1,8,1,0,1,8,1,曇後時々雨,8,1,雨時々曇,8,1
2010/1/11,19.2,8,1,22.5,8,1,15.4,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,晴後曇時々雨,8,1
2010/1/12,15.4,8,1,18.8,8,1,13.5,8,1,12.5,0,8,1,0,1,8,1,0,1,8,1,雨後一時曇,8,1,曇時々雨,8,1
2010/1/13,12.5,8,1,13.9,8,1,11.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々雨,8,1
2010/1/14,12.4,8,1,14.3,8,1,10.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後時々晴,8,1,晴一時曇,8,1
2010/1/15,13.3,8,1,17.2,8,1,9.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2010/1/16,15.1,8,1,19.3,8,1,10.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,晴後時々曇,8,1
2010/1/17,16.6,8,1,20.0,8,1,13.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴一時曇,8,1
2010/1/18,17.4,8,1,21.4,8,1,14.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2010/1/19,19.3,8,1,22.2,8,1,15.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴時々曇,8,1
2010/1/20,21.1,8,1,24.0,8,1,19.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴後曇,8,1
2010/1/21,20.7,8,1,23.9,8,1,17.0,8,1,4.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,雨時々曇,8,1
2010/1/22,17.2,8,1,18.1,8,1,16.3,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇時々雨,8,1
2010/1/23,15.8,8,1,16.4,8,1,14.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後一時雨,8,1
2010/1/24,16.4,8,1,19.7,8,1,14.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,晴一時曇,8,1
2010/1/25,17.6,8,1,20.8,8,1,14.2,8,1,6.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇一時晴,8,1,雨時々晴,8,1
2010/1/26,16.2,8,1,18.5,8,1,14.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,曇時々晴,8,1
